[2026-04-07 14:09:47] FILE: 580_VI_THUOC_XUONG_RONG | ID: VI_THUOC_XUONG_RONG | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:10:51] FILE: 581_VI_THUOC_TE_TAN | ID: VI_THUOC_TE_TAN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:12:25] FILE: 583_VI_THUOC_MIA_DO | ID: VI_THUOC_MIA_DO | STAGE: 3 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:13:10] FILE: 584_VI_THUOC_XOAI | ID: VI_THUOC_XOAI | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:13:28] FILE: 584_VI_THUOC_XOAI | ID: VI_THUOC_XOAI | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:15:10] FILE: 590_VI_THUOC_CU_GIO | ID: VI_THUOC_CU_GIO | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:18:29] FILE: 598_VI_THUOC_THONG_THIEN | ID: VI_THUOC_THONG_THIEN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:20:08] FILE: 606_VI_THUOC_HANH_BIEN | ID: VI_THUOC_HANH_BIEN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:21:33] FILE: 613_VI_THUOC_BACH_CHI | ID: VI_THUOC_BACH_CHI | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:33:25] FILE: 640_VI_THUOC_NHAN_TRAN | ID: VI_THUOC_NHAN_TRAN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:35:31] FILE: 646_VI_THUOC_RAU_MA | ID: VI_THUOC_RAU_MA | STAGE: 3 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:40:16] FILE: 655_VI_THUOC_THANH_CAO_HOA_VANG | ID: VI_THUOC_THANH_CAO_HOA_VANG | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:41:08] FILE: 657_VI_THUOC_THANH_CAO | ID: VI_THUOC_THANH_CAO | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:42:09] FILE: 658_VI_THUOC_CHOI_XUE | ID: VI_THUOC_CHOI_XUE | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:48:49] FILE: 674_VI_THUOC_HUNG_QUE | ID: VI_THUOC_HUNG_QUE | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:49:44] FILE: 676_VI_THUOC_TRA_TIEN | ID: VI_THUOC_TRA_TIEN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:55:37] FILE: 686_VI_THUOC_CANH_KIEN_DO | ID: VI_THUOC_CANH_KIEN_DO | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 14:58:30] FILE: 693_VI_THUOC_BÀM_BÀM | ID: VI_THUOC_BAM_BAM | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 15:05:00] FILE: 705_VI_THUOC_BONG_NO | ID: VI_THUOC_BONG_NO | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 15:10:29] FILE: 715_VI_THUOC_CA_DOC_DUOC | ID: VI_THUOC_CA_DOC_DUOC | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 15:12:30] FILE: 718_VI_THUOC_ΜΑ | ID: VI_THUOC | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 15:13:35] FILE: 721_VI_THUOC_DAO | ID: VI_THUOC_DAO | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 15:19:08] FILE: 730_VI_THUOC_MACH_MON_DONG | ID: VI_THUOC_MACH_MON_DONG | STAGE: 3 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 15:22:27] FILE: 733_VI_THUOC_BONG_BONG | ID: VI_THUOC_BONG_BONG | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 15:32:54] FILE: 755_VI_THUOC_TRAM_VA_TINH_DAU_TRAM | ID: VI_THUOC_TRAM_VA_TINH_DAU_TRAM | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 15:34:06] FILE: 757_VI_THUOC_BACH_DAN_VA_TINH_DAU_BACH_DAN | ID: VI_THUOC_BACH_DAN_VA_TINH_DAU_BACH_DAN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 15:38:58] FILE: 766_VI_THUOC_BIEN_HOA | ID: VI_THUOC_BIEN_HOA | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 15:40:37] FILE: 767_VI_THUOC_BOI_MAU | ID: VI_THUOC_BOI_MAU | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 15:42:35] FILE: 771_VI_THUOC_CHUA_DU | ID: VI_THUOC_CHUA_DU | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 15:43:13] FILE: 772_VI_THUOC_CHOC_GAI | ID: VI_THUOC_CHOC_GAI | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 15:54:42] FILE: 791_VI_THUOC_NAP_AM | ID: VI_THUOC_NAP_AM | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 15:57:53] FILE: 797_VI_THUOC_LAC_TIEN | ID: VI_THUOC_LAC_TIEN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 15:58:56] FILE: 798_VI_THUOC_SEN | ID: VI_THUOC_SEN | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 16:09:17] FILE: 819_VI_THUOC_NHAN_SAM | ID: VI_THUOC_NHAN_SAM | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 16:21:12] FILE: 846_VI_THUOC_NAM_LINH_CHI | ID: VI_THUOC_NAM_LINH_CHI | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 16:22:07] FILE: 848_VI_THUOC_HA_THU_O | ID: VI_THUOC_HA_THU_O | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 16:24:23] FILE: 852_VI_THUOC_SINH_DIA | ID: VI_THUOC_SINH_DIA | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 16:30:30] FILE: 865_VI_THUOC_KY_TU | ID: VI_THUOC_KY_TU | STAGE: 3 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 16:31:21] FILE: 867_VI_THUOC_THO_TY_TU | ID: VI_THUOC_THO_TY_TU | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 16:37:16] FILE: 877_VI_THUOC_QUE_TRUNG_QUOC | ID: VI_THUOC_QUE_TRUNG_QUOC | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 16:37:23] FILE: 877_VI_THUOC_QUE_TRUNG_QUOC | ID: VI_THUOC_QUE_TRUNG_QUOC | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 16:37:44] FILE: 878_VI_THUOC_CAM_THAO | ID: VI_THUOC_CAM_THAO | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 16:38:47] FILE: 878_VI_THUOC_NHUNG_LOAI_QUE_KHAC | ID: VI_THUOC_NHUNG_LOAI_QUE_KHAC | STAGE: 4 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 16:42:04] FILE: 887_VI_THUOC_NGU_VI_TU | ID: VI_THUOC_NGU_VI_TU | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 16:43:50] FILE: 891_VI_THUOC_O_DAUPHU_TU | ID: VI_THUOC_O_DAUPHU_TU | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
[2026-04-07 16:47:28] FILE: 897_VI_THUOC_DONG_TRUNG_HA_THAO | ID: VI_THUOC_DONG_TRUNG_HA_THAO | STAGE: 2 | LỖI: Lỗi Schema hoặc API trả về rỗng không thể parse
